Monitor,Brand,Vendor,Price,Display Size,Resolution
Dell E1916H,Dell,Altoo Tech Point,16000,18.5,1366 x 768
HP D2W67A8,HP,Altoo Tech Point,12500,19,1280 x 1024
HP LV1911,HP,Altoo Tech Point,9000,18.5,1366 x 768
HP P191,HP,Altoo Tech Point,12000,19,1366 x 768
HP 1912nm,HP,Altoo Tech Point,10000,18.5,1366 x 768
Asus ROG Swift PG258Q,Asus,Abid Computers,74000,24.5,1920 x 1080
LG 27GL850-B,LG,Abid Computers,69900,27,2560 x 1440
Alienware AW2518HF,Alienware,Abid Computers,47000,25,1920 x 1080
LG 34GK950F-B,LG,Abid Computers,110500,34,3440 x 1440
Dell AW3418DW,Dell,Abid Computers,99500,34,3440 x 1440
